name,date,stars,comment
JTJeaniqua telfortUS•1 review,12 hours ago,0,"Quality!This my second time ordering off this site and The quality of the clothes so chef kiss.Date of experience: August 11, 2025"
JSjayla smithUS•1 review,13 hours ago,0,"GreatGreat! Love the appDate of experience: August 11, 2025"
FNFashion NovaUS•1 review,13 hours ago,0,"Love them this is not my first time…Love them this is not my first time ordering Date of experience: August 11, 2025"
COcam ortUS•1 review,13 hours ago,0,"No HassleGreat no hassle with ordering also love the coupon codes when you subscribe to notifs!Date of experience: August 11, 2025"
SMShawnty MartinUS•1 review,13 hours ago,0,"So many options for every occasionDate of experience: August 11, 2025"
TPAUS•1 review,14 hours ago,0,"love how most of their jeans are tall…love how most of their jeans are tall girl friendly Date of experience: August 11, 2025"
LILinda IzzardUS•1 review,14 hours ago,0,"Easy payment plansLove yall fashionovaDate of experience: August 11, 2025"
MImiraUS•1 review,14 hours ago,0,"i’ve been shopping here since 2017 and…i’ve been shopping here since 2017 and i’ve loved everything i’ve got!Date of experience: August 11, 2025"
CVclaudia vargasUS•1 review,14 hours ago,0,"Great qualityThe clothes is amazing quality and delivery is fast Date of experience: August 11, 2025"
FNFashion NovaUS•1 review,14 hours ago,0,"It's a great app Love buying in  fashion nova  its great app Date of experience: August 11, 2025"
CBCassaundra BatteastUS•3 reviews,15 hours ago,0,"When using the search bar to be more…When using the search bar to be more specific in sizes or length it does not bring upwhat is requested..eg...tall length is not 32inches and when I search 34 inseam still brings up 32.5...Date of experience: August 11, 2025"
DADanielle ArtistUS•6 reviews,15 hours ago,0,"Everyone is not fake I like Fashion Nova but I feel like…I like Fashion Nova but I feel like they think everyone have a bbl or is skinny and short us tall women have a problem with finding stuff that fits nice like the models Date of experience: August 11, 2025"
RSrohdeano smallingUS•1 review,15 hours ago,0,"Good things I wanted be next ambassador…Good things I wanted be next ambassador !Date of experience: August 11, 2025"
LClatonja colemanUS•3 reviews,15 hours ago,0,"I love everything about fashionova!!!Date of experience: August 11, 2025"
KPKarla PedrozaUS•1 review,15 hours ago,0,"AmazingAmazing, the quality is amazing Date of experience: August 11, 2025"
FNFashion NovaUS•1 review,15 hours ago,0,"Great online shopping app!Great online shopping app!! And great dealsDate of experience: August 11, 2025"
TMTiffany MessierUS•1 review,16 hours ago,0,"Good shippingGood shipping Date of experience: August 11, 2025"
FNFashion NovaUS•1 review,16 hours ago,0,"My favorite!!!!Date of experience: August 11, 2025"
DCDellaNeiah CookUS•1 review,16 hours ago,0,"Love the clothesLove the clothes, the discounts and the quick shipping Date of experience: August 11, 2025"
JYJackie YutiamboUS•1 review,16 hours ago,0,"5 starEasy to navigate on the appDate of experience: August 11, 2025"
TBTracy BooneUS•3 reviews,16 hours ago,0,"I love fashion NovaI love fashion Nova Date of experience: August 11, 2025"
FNFashion NovaUS•1 review,16 hours ago,0,"Reviews and product information tabDate of experience: August 11, 2025"
RLromeldia LevyUS•1 review,16 hours ago,0,"Charged my card without my consentCharged my card without my consent Date of experience: August 11, 2025"
LILinaaCA•1 review,16 hours ago,0,"Amazing Amazing . Highly recommend Date of experience: August 11, 2025"
FNFashion NovaUS•1 review,16 hours ago,0,"Great store.Date of experience: August 11, 2025"
HTHailey ThompsonUS•1 review,17 hours ago,0,"Better then shienIt was really easy to order and they have a lot of good options. Only thing was is that in a couple shirts they didn’t have my size but that’s not a problem because I found better options.Date of experience: August 11, 2025"
HEHENDERSON/DARLENEUS•3 reviews,17 hours ago,0,"Next day delivery is a charge nowThat then used to be a next day delivery if you order before 3:00 without a fee but now you have to pay $20 if you order before 3:00 for next day delivery I think that should have been sent out to customers and told them that that change so is there a time that you can order up to and receive the next day without feeDate of experience: August 11, 2025"
Sean MGB•3 reviews,17 hours ago,0,"A fraud and scamA fraud and scam. I ordered something back in June for someone's birthday and paid on time and in full. Yet my item never arrived. No communication from merchant or vendor. Just felt ghosted but they took my money $34.00 USD. So avoid at all costs. Even when I emailed the legal team I got an automated reply. Service is dreadful.Date of experience: June 18, 2025"
